,ticker,open,eps,div
358,OXY,38.33,1.37,3.16 (8.25%)
359,ODFL,187.14,7.80,0.68 (0.37%)
360,OMC,81.00,5.95,2.60 (3.21%)
361,OKE,73.70,3.02,3.66 (4.99%)
362,ORCL,53.06,3.15,0.96 (1.70%)
363,PCAR,82.18,6.99,1.28 (1.56%)
364,PKG,112.14,8.07,3.16 (2.81%)
365,PH,204.70,11.29,3.52 (1.73%)
366,PAYX,87.12,2.92,2.48 (2.91%)
367,PYPL,108.86,2.13,N/A (N/A)
368,PNR,45.40,2.04,0.76 (1.67%)
369,PBCT,17.13,1.31,0.71 (4.16%)
370,PEP,137.05,8.79,3.82 (2.81%)
371,PKI,95.08,2.10,0.28 (0.29%)
372,PRGO,54.02,1.81,0.84 (1.56%)
373,PFE,39.01,2.83,1.52 (3.91%)
374,PM,84.70,4.80,4.68 (5.45%)
375,PSX,113.29,10.00,3.60 (3.18%)
376,PNW,87.85,4.44,3.13 (3.57%)
377,PXD,143.78,4.33,1.76 (1.22%)
378,PNC,160.81,11.16,4.60 (2.87%)
379,PPG,133.30,5.07,2.04 (1.53%)
380,PPL,36.01,2.46,1.65 (4.59%)
381,PFG,54.83,4.72,2.20 (4.02%)
382,PG,125.31,1.58,2.98 (2.38%)
383,PGR,72.25,5.34,0.40 (0.56%)
384,PLD,87.05,2.80,2.12 (2.43%)
385,PRU,95.50,9.33,4.00 (4.20%)
386,PEG,59.33,2.86,1.88 (3.17%)
387,PSA,205.29,8.46,8.00 (3.90%)
388,PHM,39.62,3.28,0.48 (1.21%)
389,PVH,105.77,8.54,0.15 (0.14%)
390,QRVO,114.47,2.06,N/A (N/A)
391,PWR,41.29,2.30,0.20 (0.48%)
392,QCOM,88.54,3.59,2.48 (2.78%)
393,DGX,107.01,5.33,2.12 (1.99%)
394,RL,117.92,5.65,2.75 (2.34%)
395,RJF,91.52,7.17,1.48 (1.62%)
396,RTN,216.90,11.69,3.77 (1.73%)
397,O,71.69,1.27,2.73 (3.81%)
398,REG,61.36,1.65,2.34 (3.81%)
399,REGN,370.30,18.69,N/A (N/A)
400,RF,17.50,1.50,0.62 (3.56%)
401,RSG,89.65,3.36,1.62 (1.81%)
402,RMD,156.66,2.90,1.56 (1.00%)
403,RHI,61.93,3.87,1.24 (2.00%)
404,ROK,204.41,5.83,4.08 (2.00%)
405,ROL,33.05,0.62,0.42 (1.26%)
406,ROP,352.07,11.01,2.05 (0.58%)
407,ROST,113.81,4.52,1.02 (0.90%)
408,RCL,127.31,9.15,3.12 (2.46%)
409,SPGI,272.34,8.43,2.28 (0.84%)
410,CRM,161.80,1.20,N/A (N/A)
411,SBAC,227.53,1.17,1.48 (0.65%)
412,SLB,39.20,-7.18,2.00 (5.21%)
413,STX,59.25,6.30,2.60 (4.39%)
414,SEE,38.99,2.31,0.64 (1.64%)
415,SRE,150.15,8.81,3.87 (2.58%)
416,NOW,277.43,0.18,N/A (N/A)
417,SHW,579.73,14.86,4.52 (0.78%)
418,SPG,143.75,7.45,8.40 (5.81%)
419,SWKS,113.40,4.89,1.76 (1.56%)
420,SLG,89.29,2.12,3.54 (3.98%)
421,SNA,171.94,12.43,4.32 (2.51%)
422,SO,63.57,4.36,2.48 (3.89%)
423,LUV,54.35,4.45,0.72 (1.33%)
424,SWK,165.42,4.32,2.76 (1.67%)
425,SBUX,88.39,2.92,1.64 (1.86%)
426,STT,80.56,5.07,2.08 (2.59%)
427,SYK,204.58,9.02,2.30 (1.13%)
428,SIVB,254.53,21.62,N/A (N/A)
429,SYF,37.00,5.47,0.88 (2.37%)
430,SNPS,137.55,3.45,N/A (N/A)
431,SYY,84.35,3.26,1.80 (2.14%)
432,TMUS,75.62,3.89,N/A (N/A)
433,TROW,123.20,7.87,3.04 (2.47%)
434,TTWO,122.57,3.11,N/A (N/A)
435,TPR,25.66,1.87,1.35 (5.29%)
436,TGT,128.51,6.25,2.64 (2.06%)
437,TEL,96.01,5.42,1.84 (1.93%)
438,FTI,19.91,-5.04,0.52 (2.60%)
439,TFX,367.87,9.45,1.36 (0.38%)
440,TXN,127.39,5.39,3.60 (2.83%)
441,TXT,44.43,3.66,0.08 (0.18%)
442,TMO,319.31,8.89,0.76 (0.24%)
443,TIF,133.65,4.48,2.32 (1.74%)
444,TJX,60.92,2.54,0.92 (1.51%)
445,TSCO,93.93,4.56,1.40 (1.42%)
446,TDG,570.44,13.84,N/A (N/A)
447,TRV,137.17,8.90,3.28 (2.39%)
448,TRIP,29.47,0.84,N/A (N/A)
449,TFC,56.80,N/A,1.80 (3.18%)
450,TWTR,30.69,2.05,N/A (N/A)
451,TSN,90.82,5.52,1.68 (1.86%)
452,UDR,45.64,0.59,1.37 (3.00%)
453,ULTA,256.22,11.89,N/A (N/A)
454,USB,60.75,4.35,1.68 (2.77%)
455,UAA,20.42,0.25,N/A (N/A)
456,UA,18.69,0.25,N/A (N/A)
457,UNP,177.75,8.49,3.88 (2.19%)
458,UAL,89.50,10.72,N/A (N/A)
459,UNH,291.00,13.75,4.32 (1.49%)
460,UPS,118.54,5.75,3.84 (3.19%)
461,URI,164.55,14.46,N/A (N/A)
462,UTX,148.10,5.93,2.94 (1.98%)
463,UHS,141.74,8.04,0.80 (0.57%)
464,UNM,30.50,4.95,1.14 (3.74%)
465,VFC,95.22,3.22,1.92 (2.02%)
466,VLO,95.50,5.54,3.60 (3.76%)
467,VAR,142.95,3.18,N/A (N/A)
468,VTR,55.93,1.32,3.17 (5.68%)
469,VRSN,191.56,5.40,N/A (N/A)
470,VRSK,151.17,2.79,1.00 (0.66%)
471,VZ,61.51,3.89,2.46 (4.00%)
472,VRTX,217.83,8.24,N/A (N/A)
473,VIAC,40.76,N/A,0.72 (1.79%)
474,V,185.52,5.32,1.20 (0.65%)
475,VNO,65.26,15.73,2.64 (4.06%)
476,VMC,143.12,4.50,1.24 (0.87%)
477,WRB,69.64,3.61,0.44 (0.63%)
478,WAB,74.31,1.46,0.48 (0.64%)
479,WMT,121.51,5.00,2.12 (1.75%)
480,WBA,57.23,4.31,1.83 (3.21%)
481,DIS,147.77,6.64,1.76 (1.19%)
482,WM,113.02,4.09,2.05 (1.81%)
483,WAT,231.00,8.13,N/A (N/A)
484,WEC,91.33,3.45,2.53 (2.78%)
485,WCG,317.40,12.44,N/A (N/A)
486,WFC,54.46,4.65,2.04 (3.75%)
487,WELL,76.97,2.80,3.48 (4.50%)
488,WDC,57.17,-5.26,2.00 (3.49%)
489,WU,26.87,2.60,0.80 (2.98%)
490,WRK,41.87,3.33,1.86 (4.43%)
491,WY,29.74,-0.21,1.36 (4.59%)
492,WHR,147.25,16.58,4.80 (3.27%)
493,WMB,23.04,0.12,1.52 (6.63%)
494,WLTW,201.02,6.74,2.60 (1.29%)
495,WYNN,138.00,6.16,4.00 (3.00%)
496,XEL,63.57,2.50,1.62 (2.55%)
497,XRX,36.93,2.84,1.00 (2.69%)
498,XLNX,96.26,3.71,1.48 (1.54%)
499,XYL,78.10,2.80,0.96 (1.23%)
500,YUM,99.48,3.62,1.68 (1.69%)
501,ZBH,149.90,-0.44,0.96 (0.64%)
502,ZION,51.60,4.27,1.36 (2.64%)
503,ZTS,127.15,3.02,0.80 (0.63%)
